Questions,Answers
I'm feeling sad,It's okay to feel sad sometimes. Do you want to talk about whats making you feel this way?
I'm anxious,Anxiety is tough. Would you like some tips to manage it or someone to talk to?
I'm stressed,Stress happens. Lets take a deep breath together. Want some stress-relief tips?
I feel alone,You're not alone. I'm here with you. Would you like to talk about what's going on?
I'm overwhelmed,Take one step at a time. Want some ways to manage this feeling?
I want to cry,Crying can be healing. It's okay to express your emotions.
What is depression?,Depression is a serious mental health issue. It's important to talk to someone if you're feeling low.
How do I know if I have anxiety?,Some signs of anxiety include overthinking and restlessness. I can help you learn more.
What is therapy?,Therapy is a safe space to talk to someone trained to help you manage emotions and life challenges.
Where can I get mental health help?,"You can talk to a counselor, reach out to helplines, or use teen-friendly platforms."
Is it okay to feel anxious?,"Yes, its completely normal to feel anxious sometimes."
I don't feel confident,Confidence takes time. Celebrate your small wins and keep going.
How do I love myself?,Start by being kind to yourself. I can share some tips for daily self-love.
I feel like I don't fit in,Being unique is your strength. You're not alone in this feeling.
Why don't people like me?,Sometimes it's not about you. True connections take time.
I hate myself,I'm really sorry you feel this way. Want to talk about whats making you feel this way?
My friends are ignoring me,That must feel hurtful. Want to talk about what happened?
I'm being bullied,You don't deserve that. Let's talk about how to stay safe and seek help.
I feel left out,Many teens feel this way. Would you like to talk more about it?
My friend betrayed me,That must be painful. I'm here if you want to talk.
Everyone is better than me,You have your own unique strengths. Let's explore them.
How do I focus on studies?,"Try the Pomodoro techniqueâstudy for 25 minutes, then take a 5-minute break."
I procrastinate a lot,It happens to everyone. Let's create a simple plan together.
How can I manage time better?,Use a planner or time-blocking. Want help building one?
I hate studying,Sometimes it's hard to stay motivated. Lets find ways to make it easier.
I failed a test,Its okay. Failure is a part of learning. Lets figure out what went wrong.
What is self-care?,Self-care means doing things that make you feel good and healthy.
How can I relax?,"Try listening to music, journaling, or a short breathing exercise."
Teach me mindfulness,Sure! Lets start with a simple breathing exercise.
I cant sleep at night,Try reducing screen time before bed and sticking to a sleep routine.
I feel tired all the time,It could be physical or emotional. Want to explore possible reasons?
I'm feeling sad,It's okay to feel sad sometimes. Do you want to talk about whats making you feel this way?
I'm anxious,Anxiety is tough. Would you like some tips to manage it or someone to talk to?
I'm stressed,Stress happens. Lets take a deep breath together. Want some stress-relief tips?
I feel alone,You're not alone. I'm here with you. Would you like to talk about what's going on?
I'm overwhelmed,Take one step at a time. Want some ways to manage this feeling?
I want to cry,Crying can be healing. It's okay to express your emotions.
What is depression?,Depression is a serious mental health issue. It's important to talk to someone if you're feeling low.
How do I know if I have anxiety?,Some signs of anxiety include overthinking and restlessness. I can help you learn more.
What is therapy?,Therapy is a safe space to talk to someone trained to help you manage emotions and life challenges.
Where can I get mental health help?,"You can talk to a counselor, reach out to helplines, or use teen-friendly platforms."
Is it okay to feel anxious?,"Yes, its completely normal to feel anxious sometimes."
I don't feel confident,Confidence takes time. Celebrate your small wins and keep going.
How do I love myself?,Start by being kind to yourself. I can share some tips for daily self-love.
I feel like I don't fit in,Being unique is your strength. You're not alone in this feeling.
Why don't people like me?,Sometimes it's not about you. True connections take time.
I hate myself,I'm really sorry you feel this way. Want to talk about whats making you feel this way?
My friends are ignoring me,That must feel hurtful. Want to talk about what happened?
I'm being bullied,You don't deserve that. Let's talk about how to stay safe and seek help.
I feel left out,Many teens feel this way. Would you like to talk more about it?
My friend betrayed me,That must be painful. I'm here if you want to talk.
Everyone is better than me,You have your own unique strengths. Let's explore them.
How do I focus on studies?,"Try the Pomodoro techniqueâstudy for 25 minutes, then take a 5-minute break."
I procrastinate a lot,It happens to everyone. Let's create a simple plan together.
How can I manage time better?,Use a planner or time-blocking. Want help building one?
I hate studying,Sometimes it's hard to stay motivated. Lets find ways to make it easier.
I failed a test,Its okay. Failure is a part of learning. Lets figure out what went wrong.
What is self-care?,Self-care means doing things that make you feel good and healthy.
How can I relax?,"Try listening to music, journaling, or a short breathing exercise."
Teach me mindfulness,Sure! Lets start with a simple breathing exercise.
I cant sleep at night,Try reducing screen time before bed and sticking to a sleep routine.
I feel tired all the time,It could be physical or emotional. Want to explore possible reasons?
